		1.61676E+12	OBD	FUL	VIN	OAL	EGT	EVT				
*TS87	866758049135151	1616781121018	GPS:3;N36.404596;E10.146407;0;0;0.98	STT:0;0	MGR:8	ADC:0;12.16;1;36.90;2;3.83	EGT:356	EVT:1#				
*TS88	866758049135151	1616782122019	GPS:3;N36.404596;E10.146407;0;0;0.92	STT:0;0	MGR:8	ADC:0;12.12;1;37.30;2;3.83	EGT:356	EVT:1#				
*TS89	866758049135151	1616783123020	GPS:3;N36.404596;E10.146407;0;0;0.92	STT:0;0	MGR:8	ADC:0;12.13;1;37.30;2;3.82	EGT:356	EVT:1#				
*TS90	866758049135151	1616784124021	GPS:3;N36.404596;E10.146407;0;0;0.92	STT:0;0	MGR:8	ADC:0;12.12;1;37.30;2;3.83	EGT:356	EVT:1#				
*TS91	866758049135151	1616785125022	GPS:3;N36.404596;E10.146407;0;0;0.92	STT:0;0	MGR:8	ADC:0;12.11;1;37.27;2;3.83	EGT:356	EVT:1#				
*TS92	866758049135151	1616786126023	GPS:3;N36.404596;E10.146407;0;0;0.92	STT:0;0	MGR:8	ADC:0;12.14;1;37.49;2;3.83	EGT:356	EVT:1#				
*TS93	866758049135151	1616787127024	GPS:3;N36.404596;E10.146407;0;0;0.83	STT:0;0	MGR:8	ADC:0;12.13;1;37.67;2;3.83	EGT:356	EVT:1#				
*TS94	866758049135151	1616788128025	GPS:3;N36.404596;E10.146407;0;0;0.92	STT:0;0	MGR:8	ADC:0;12.13;1;37.67;2;3.83	EGT:356	EVT:1#				
*TS95	866758049135151	1616789129026	GPS:3;N36.404596;E10.146407;0;0;0.92	STT:0;0	MGR:8	ADC:0;12.19;1;37.86;2;3.83	EGT:356	EVT:1#				
*TS96	866758049135151	1616790130027	GPS:3;N36.404596;E10.146407;0;0;0.92	STT:0;0	MGR:8	ADC:0;12.13;1;37.67;2;3.83	EGT:356	EVT:1#				
*TS97	866758049135151	1616791131028	GPS:3;N36.404596;E10.146407;0;351;0.92	STT:0;0	MGR:8	ADC:0;12.27;1;37.86;2;3.83	EGT:356	EVT:1#				
*TS98	866758049135151	1616792132029	GPS:3;N36.404596;E10.146407;0;0;0.92	STT:200;0	MGR:8	ADC:0;12.27;1;37.86;2;3.83	EGT:356	EVT:F0;200#				
*TS99	866758049135151	1616793133030	GPS:3;N36.404596;E10.146407;0;0;1.04	STT:200;0	MGR:8	ADC:0;12.28;1;38.07;2;3.83	EGT:360	EVT:1#				
*TS100	866758049135151	1616794134031	GPS:3;N36.404596;E10.146407;0;351;1.04	STT:0;0	MGR:8	ADC:0;0.00;1;37.70;2;3.62	EGT:361	EVT:F0;200#				
*TS101	866758049135151	1616795135032	GPS:3;N36.404596;E10.146407;0;0;0.92	STT:0;0	MGR:8	ADC:0;0.00;1;38.07;2;3.60	EGT:361	EVT:1#				
*TS102	866758049135151	1616796136033	GPS:3;N36.404596;E10.146407;0;0;1.00	STT:1;0	MGR:8	ADC:0;0.00;1;38.07;2;3.60	EGT:361	EVT:F0;1#				
*TS103	866758049135151	1616797137034	GPS:3;N36.404596;E10.146407;0;0;0.92	STT:1;0	MGR:8	ADC:0;0.00;1;38.07;2;3.59	EGT:361	EVT:1#				
*TS104	866758049135151	1616798138035	GPS:3;N36.404596;E10.146407;0;0;0.99	STT:0;0	MGR:8	ADC:0;12.16;1;38.25;2;3.72	EGT:361	EVT:F0;1#				
*TS105	866758049135151	1616799139036	GPS:3;N36.404596;E10.146407;0;0;0.96	STT:0;0	MGR:8	ADC:0;12.13;1;38.44;2;3.79	EGT:361	EVT:1#				
*TS106	866758049135151	1616800140037	GPS:3;N36.404596;E10.146407;0;0;0.92	STT:0;0	MGR:8	ADC:0;12.11;1;38.44;2;3.80	EGT:361	EVT:1#				
*TS107	866758049135151	1616801141038	GPS:3;N36.404596;E10.146407;0;0;0.96	STT:0;0	MGR:8	ADC:0;11.78;1;38.44;2;3.81	EGT:361	EVT:1#				
*TS108	866758049135151	1616802142039	GPS:3;N36.404596;E10.146407;0;0;1.02	STT:0;0	MGR:8	ADC:0;12.11;1;38.81;2;3.81	EGT:361	EVT:1#				
*TS109	866758049135151	1616803143040	GPS:3;N36.404596;E10.146407;0;0;0.96	STT:0;0	MGR:8	ADC:0;11.95;1;38.79;2;3.81	EGT:361	EVT:1#				
*TS110	866758049135151	1616804144041	GPS:3;N36.404596;E10.146407;0;0;0.96	STT:0;0	MGR:8	ADC:0;12.13;1;39.00;2;3.82	EGT:361	EVT:1#				
*TS111	866758049135151	1616805145042	GPS:3;N36.404596;E10.146407;0;0;1.34	STT:0;0	MGR:8	ADC:0;11.99;1;39.00;2;3.81	EGT:361	EVT:1#				
*TS112	866758049135151	1616806146043	GPS:3;N36.404596;E10.146407;0;0;0.90	STT:0;0	MGR:8	ADC:0;12.04;1;38.98;2;3.82	EGT:361	EVT:1#				
*TS113	866758049135151	1616807147044	GPS:3;N36.404596;E10.146407;0;0;0.92	STT:0;0	MGR:8	ADC:0;12.02;1;39.19;2;3.82	EGT:361	EVT:1#				
*TS114	866758049135151	1616808148045	GPS:3;N36.404596;E10.146407;0;0;0.92	STT:0;0	MGR:8	ADC:0;12.02;1;39.19;2;3.82	EGT:361	EVT:1#				
*TS115	866758049135151	1616809149046	GPS:3;N36.404596;E10.146407;0;0;0.90	STT:0;0	MGR:8	ADC:0;12.06;1;39.37;2;3.82	EGT:361	EVT:1#				
*TS116	866758049135151	1616810150047	GPS:3;N36.404596;E10.146407;0;0;0.92	STT:0;0	MGR:8	ADC:0;12.06;1;39.56;2;3.82	EGT:361	EVT:1#				
*TS117	866758049135151	1616811151048	GPS:3;N36.404596;E10.146407;0;0;0.90	STT:0;0	MGR:8	ADC:0;12.11;1;39.56;2;3.82	EGT:361	EVT:1#				
*TS118	866758049135151	1616812152049	GPS:3;N36.404596;E10.146407;0;0;0.92	STT:0;0	MGR:8	ADC:0;12.11;1;39.56;2;3.82	EGT:361	EVT:1#				
*TS119	866758049135151	1616813153050	GPS:3;N36.404596;E10.146407;0;351;0.97	STT:0;0	MGR:8	ADC:0;12.13;1;39.75;2;3.82	EGT:361	EVT:1#				
*TS120	866758049135151	1616814154051	GPS:3;N36.404596;E10.146407;0;0;1.35	STT:200;0	MGR:8	ADC:0;12.09;1;39.75;2;3.82	EGT:361	EVT:F0;200#				
*TS121	866758049135151	1616815155052	GPS:3;N36.404551;E10.146345;0;0;1.13	STT:200;0	MGR:9	ADC:0;12.15;1;39.77;2;3.82	EGT:365	EVT:1#				
*TS122	866758049135151	1616816156053	GPS:3;N36.404551;E10.146345;0;0;1.04	STT:200;0	MGR:9	ADC:0;12.10;1;39.77;2;3.82	EGT:370	EVT:1#				
*TS123	866758049135151	1616817157054	GPS:3;N36.404551;E10.146345;0;0;1.04	STT:200;0	MGR:9	ADC:0;12.08;1;39.95;2;3.82	EGT:372	EVT:1#				
*TS124	866758049135151	1616818158055	GPS:3;N36.404551;E10.146345;0;0;1.04	STT:200;0	MGR:9	ADC:0;12.08;1;40.14;2;3.82	EGT:372	EVT:1#				
*TS125	866758049135151	1616819159056	GPS:3;N36.404551;E10.146345;0;0;1.04	STT:200;0	MGR:9	ADC:0;12.15;1;40.14;2;3.82	EGT:372	EVT:1#				
*TS126	866758049135151	1616820160057	GPS:3;N36.404551;E10.146345;0;0;0.97	STT:200;0	MGR:9	ADC:0;12.02;1;40.53;2;3.82	EGT:372	EVT:1#				
*TS127	866758049135151	1616821161058	GPS:3;N36.404551;E10.146345;0;0;0.97	STT:200;0	MGR:9	ADC:0;12.09;1;40.30;2;3.82	EGT:372	EVT:1#				
*TS128	866758049135151	1616822162059	GPS:3;N36.404551;E10.146345;0;0;0.97	STT:200;0	MGR:9	ADC:0;12.16;1;40.49;2;3.82	EGT:372	EVT:1#				
*TS129	866758049135151	1616823163060	GPS:3;N36.404551;E10.146345;0;0;0.97	STT:200;0	MGR:9	ADC:0;12.20;1;40.49;2;3.82	EGT:372	EVT:1#				
*TS130	866758049135151	1616824164061	GPS:3;N36.404551;E10.146345;0;0;0.97	STT:200;0	MGR:9	ADC:0;12.14;1;40.49;2;3.82	EGT:372	EVT:1#				
*TS131	866758049135151	1616825165062	GPS:3;N36.404551;E10.146345;0;0;0.97	STT:200;0	MGR:9	ADC:0;12.01;1;40.70;2;3.82	EGT:372	EVT:1#				
*TS132	866758049135151	1616826166063	GPS:3;N36.404551;E10.146345;0;0;0.91	STT:200;0	MGR:9	ADC:0;12.19;1;40.89;2;3.82	EGT:372	EVT:1#				
*TS133	866758049135151	1616827167064	GPS:3;N36.404551;E10.146345;0;351;0.91	STT:0;0	MGR:9	ADC:0;0.00;1;40.91;2;3.69	EGT:372	EVT:F0;200#				
*TS134	866758049135151	1616828168065	GPS:3;N36.404551;E10.146345;0;351;1.02	STT:0;0	MGR:9	ADC:0;0.00;1;40.70;2;3.66	EGT:372	EVT:1#				
*TS135	866758049135151	1616829169066	GPS:3;N36.404551;E10.146345;0;0;1.21	STT:1;0	MGR:9	ADC:0;0.00;1;40.70;2;3.67	EGT:372	EVT:F0;1#				
*TS136	866758049135151	1616830170067	GPS:3;N36.404551;E10.146345;0;0;1.09	STT:1;0	MGR:9	ADC:0;0.00;1;40.89;2;3.66	EGT:372	EVT:1#				
*TS137	866758049135151	1616831171068	GPS:3;N36.404551;E10.146345;0;0;1.13	STT:1;0	MGR:9	ADC:0;0.00;1;40.89;2;3.66	EGT:372	EVT:1#				
*TS138	866758049135151	1616832172069	GPS:3;N36.404551;E10.146345;0;0;1.40	STT:1;0	MGR:9	ADC:0;0.00;1;40.89;2;3.65	EGT:372	EVT:1#				
*TS139	866758049135151	1616833173070	GPS:3;N36.404551;E10.146345;0;0;1.45	STT:1;0	MGR:9	ADC:0;0.00;1;40.89;2;3.60	EGT:372	EVT:1#				
*TS140	866758049135151	1616834174071	GPS:3;N36.404551;E10.146345;0;0;1.45	STT:1;0	MGR:9	ADC:0;0.00;1;41.07;2;3.60	EGT:372	EVT:1#				
*TS141	866758049135151	1616835175072	GPS:3;N36.404551;E10.146345;0;0;1.36	STT:1;0	MGR:9	ADC:0;0.00;1;41.07;2;3.60	EGT:372	EVT:1#				
*TS142	866758049135151	1616836176073	GPS:3;N36.404551;E10.146345;0;0;1.02	STT:1;0	MGR:9	ADC:0;0.00;1;41.07;2;3.60	EGT:372	EVT:1#				
*TS143	866758049135151	1616837177074	GPS:3;N36.404551;E10.146345;0;0;1.24	STT:1;0	MGR:9	ADC:0;0.00;1;41.26;2;3.60	EGT:372	EVT:1#				
*TS144	866758049135151	1616838178075	GPS:3;N36.404551;E10.146345;0;0;1.02	STT:1;0	MGR:9	ADC:0;0.00;1;41.26;2;3.56	EGT:372	EVT:1#				
*TS145	866758049135151	1616839179076	GPS:3;N36.404551;E10.146345;0;0;1.02	STT:1;0	MGR:9	ADC:0;0.00;1;41.26;2;3.59	EGT:372	EVT:1#				
*TS146	866758049135151	1616840180077	GPS:1;N36.404551;E10.146345;0;0;99.99	STT:0;0	MGR:9	ADC:0;12.21;1;38.79;2;3.79	EGT:372	EVT:1#				
*TS147	866758049135151	1616841181078	GPS:3;N36.404567;E10.146321;0;0;1.16	STT:0;0	MGR:9	ADC:0;12.16;1;38.81;2;3.80	EGT:372	EVT:1#				
*TS148	866758049135151	1616842182079	GPS:3;N36.404567;E10.146321;0;351;1.34	STT:0;0	MGR:9	ADC:0;12.05;1;39.00;2;3.80	EGT:372	EVT:1#				
*TS149	866758049135151	1616843183080	GPS:3;N36.404567;E10.146321;0;0;2.66	STT:0;0	MGR:9	ADC:0;12.10;1;38.98;2;3.80	EGT:372	EVT:1#				
*TS150	866758049135151	1616844184081	GPS:3;N36.404567;E10.146321;0;0;1.05	STT:0;0	MGR:9	ADC:0;12.13;1;39.19;2;3.80	EGT:372	EVT:1#				
*TS151	866758049135151	1616845185082	GPS:3;N36.404567;E10.146321;0;0;1.11	STT:0;0	MGR:9	ADC:0;12.06;1;38.98;2;3.80	EGT:372	EVT:1#				
*TS152	866758049135151	1616846186083	GPS:3;N36.404567;E10.146321;0;0;0.98	STT:0;0	MGR:9	ADC:0;12.13;1;38.98;2;3.80	EGT:372	EVT:1#				
*TS153	866758049135151	1616847187084	GPS:3;N36.404567;E10.146321;0;0;0.98	STT:0;0	MGR:9	ADC:0;12.12;1;39.16;2;3.80	EGT:372	EVT:1#				
*TS154	866758049135151	1616848188085	GPS:3;N36.404567;E10.146321;0;0;0.98	STT:0;0	MGR:9	ADC:0;12.18;1;39.35;2;3.80	EGT:372	EVT:1#				
*TS155	866758049135151	1616849189086	GPS:3;N36.404567;E10.146321;0;0;0.98	STT:0;0	MGR:9	ADC:0;12.19;1;39.37;2;3.80	EGT:372	EVT:1#				
*TS156	866758049135151	1616850190087	GPS:3;N36.404567;E10.146321;0;0;0.98	STT:0;0	MGR:9	ADC:0;12.15;1;39.35;2;3.80	EGT:372	EVT:1#				
*TS157	866758049135151	1616851191088	GPS:3;N36.404567;E10.146321;0;0;0.88	STT:0;0	MGR:9	ADC:0;12.12;1;39.35;2;3.80	EGT:372	EVT:1#				
*TS158	866758049135151	1616852192089	GPS:3;N36.404567;E10.146321;0;0;0.98	STT:0;0	MGR:9	ADC:0;12.13;1;39.75;2;3.81	EGT:372	EVT:1#				
*TS159	866758049135151	1616853193090	GPS:3;N36.404567;E10.146321;0;0;0.98	STT:0;0	MGR:9	ADC:0;12.19;1;39.75;2;3.81	EGT:372	EVT:1#				
*TS160	866758049135151	1616854194091	GPS:3;N36.404567;E10.146321;0;0;0.98	STT:0;0	MGR:9	ADC:0;12.17;1;39.93;2;3.81	EGT:372	EVT:1#				
*TS161	866758049135151	1616855195092	GPS:3;N36.404567;E10.146321;0;0;0.92	STT:0;0	MGR:9	ADC:0;12.14;1;39.93;2;3.81	EGT:372	EVT:1#				
*TS162	866758049135151	1616856196093	GPS:3;N36.404567;E10.146321;0;0;1.03	STT:0;0	MGR:9	ADC:0;12.13;1;39.93;2;3.81	EGT:372	EVT:1#				
*TS163	866758049135151	1616857197094	GPS:3;N36.404567;E10.146321;0;0;0.98	STT:0;0	MGR:9	ADC:0;12.13;1;39.93;2;3.81	EGT:372	EVT:1#				
*TS164	866758049135151	1616858198095	GPS:3;N36.404567;E10.146321;0;0;0.98	STT:0;0	MGR:9	ADC:0;12.09;1;40.12;2;3.81	EGT:372	EVT:1#				
*TS165	866758049135151	1616859199096	GPS:3;N36.404567;E10.146321;0;0;0.98	STT:0;0	MGR:9	ADC:0;12.11;1;40.12;2;3.81	EGT:372	EVT:1#				
*TS166	866758049135151	1616860200097	GPS:3;N36.404567;E10.146321;0;0;0.85	STT:0;0	MGR:9	ADC:0;11.86;1;40.12;2;3.81	EGT:372	EVT:1#				
*TS167	866758049135151	1616861201098	GPS:3;N36.404567;E10.146321;0;0;0.98	STT:0;0	MGR:9	ADC:0;12.26;1;40.30;2;3.81	EGT:372	EVT:1#				
*TS168	866758049135151	1616862202099	GPS:3;N36.404567;E10.146321;0;0;0.98	STT:0;0	MGR:9	ADC:0;12.14;1;40.30;2;3.81	EGT:372	EVT:1#				
*TS169	866758049135151	1616863203100	GPS:3;N36.404567;E10.146321;0;0;0.92	STT:0;0	MGR:9	ADC:0;12.14;1;40.49;2;3.81	EGT:372	EVT:1#				
*TS170	866758049135151	1616864204101	GPS:3;N36.404567;E10.146321;0;0;0.92	STT:0;0	MGR:9	ADC:0;12.13;1;40.70;2;3.81	EGT:372	EVT:1#				
*TS171	866758049135151	1616865205102	GPS:3;N36.404567;E10.146321;0;0;0.92	STT:0;0	MGR:9	ADC:0;12.11;1;40.68;2;3.81	EGT:372	EVT:1#				
*TS172	866758049135151	1616866206103	GPS:3;N36.404567;E10.146321;0;0;0.92	STT:0;0	MGR:9	ADC:0;12.11;1;40.89;2;3.81	EGT:372	EVT:1#				
*TS173	866758049135151	1616867207104	GPS:3;N36.404567;E10.146321;0;0;0.92	STT:0;0	MGR:9	ADC:0;12.16;1;40.68;2;3.81	EGT:372	EVT:1#				
*TS174	866758049135151	1616868208105	GPS:3;N36.404567;E10.146321;0;0;0.98	STT:0;0	MGR:9	ADC:0;12.26;1;40.89;2;3.81	EGT:372	EVT:1#				
*TS175	866758049135151	1616869209106	GPS:3;N36.404567;E10.146321;0;0;0.92	STT:0;0	MGR:9	ADC:0;12.15;1;41.07;2;3.82	EGT:372	EVT:1#				
*TS176	866758049135151	1616870210107	GPS:3;N36.404567;E10.146321;0;0;0.92	STT:0;0	MGR:9	ADC:0;12.09;1;41.07;2;3.81	EGT:372	EVT:1#				
*TS177	866758049135151	1616871211108	GPS:3;N36.404567;E10.146321;0;0;0.92	STT:0;0	MGR:9	ADC:0;12.11;1;41.05;2;3.82	EGT:372	EVT:1#				
*TS178	866758049135151	1616872212109	GPS:3;N36.404567;E10.146321;0;0;0.92	STT:0;0	MGR:9	ADC:0;12.16;1;41.26;2;3.82	EGT:372	EVT:1#				
*TS179	866758049135151	1616873213110	GPS:3;N36.404567;E10.146321;0;0;0.92	STT:0;0	MGR:9	ADC:0;12.13;1;41.26;2;3.82	EGT:372	EVT:1#				
*TS180	866758049135151	1616874214111	GPS:3;N36.404567;E10.146321;0;0;0.85	STT:0;0	MGR:9	ADC:0;12.13;1;41.44;2;3.82	EGT:372	EVT:1#				
*TS181	866758049135151	1616875215112	GPS:3;N36.404567;E10.146321;0;0;0.85	STT:0;0	MGR:9	ADC:0;12.12;1;41.44;2;3.82	EGT:372	EVT:1#				
*TS182	866758049135151	1616876216113	GPS:3;N36.404567;E10.146321;0;0;0.85	STT:0;0	MGR:9	ADC:0;12.07;1;41.44;2;3.82	EGT:372	EVT:1#				
*TS183	866758049135151	1616877217114	GPS:3;N36.404567;E10.146321;0;0;0.85	STT:0;0	MGR:9	ADC:0;12.12;1;41.44;2;3.82	EGT:372	EVT:1#				
*TS184	866758049135151	1616878218115	GPS:3;N36.404567;E10.146321;0;0;0.85	STT:0;0	MGR:9	ADC:0;12.09;1;41.63;2;3.82	EGT:372	EVT:1#				
*TS185	866758049135151	1616879219116	GPS:3;N36.404567;E10.146321;0;0;0.85	STT:0;0	MGR:9	ADC:0;12.10;1;41.63;2;3.82	EGT:372	EVT:1#				
*TS186	866758049135151	1616880220117	GPS:3;N36.404567;E10.146321;0;0;0.85	STT:0;0	MGR:9	ADC:0;12.09;1;41.63;2;3.82	EGT:372	EVT:1#				
*TS187	866758049135151	1616881221118	GPS:3;N36.404567;E10.146321;0;0;0.92	STT:0;0	MGR:9	ADC:0;12.06;1;41.82;2;3.82	EGT:372	EVT:1#				
*TS188	866758049135151	1616882222119	GPS:3;N36.404567;E10.146321;0;0;0.92	STT:0;0	MGR:9	ADC:0;12.12;1;41.82;2;3.82	EGT:372	EVT:1#				
*TS189	866758049135151	1616883223120	GPS:3;N36.404567;E10.146321;0;0;0.92	STT:0;0	MGR:9	ADC:0;11.76;1;41.82;2;3.82	EGT:372	EVT:1#				
*TS190	866758049135151	1616884224121	GPS:3;N36.404567;E10.146321;0;0;0.92	STT:0;0	MGR:9	ADC:0;11.95;1;42.00;2;3.82	EGT:372	EVT:1#				
*TS191	866758049135151	1616885225122	GPS:3;N36.404567;E10.146321;0;0;0.85	STT:0;0	MGR:9	ADC:0;12.01;1;42.00;2;3.82	EGT:372	EVT:1#				
*TS192	866758049135151	1616886226123	GPS:3;N36.404567;E10.146321;0;0;0.93	STT:0;0	MGR:9	ADC:0;11.99;1;42.00;2;3.82	EGT:372	EVT:1#				
*TS193	866758049135151	1616887227124	GPS:3;N36.404567;E10.146321;0;0;0.93	STT:0;0	MGR:9	ADC:0;12.06;1;42.00;2;3.82	EGT:372	EVT:1#				
*TS194	866758049135151	1616888228125	GPS:3;N36.404567;E10.146321;0;0;0.93	STT:0;0	MGR:9	ADC:0;12.06;1;42.00;2;3.82	EGT:372	EVT:1#				
*TS195	866758049135151	1616889229126	GPS:3;N36.404567;E10.146321;0;0;0.85	STT:0;0	MGR:9	ADC:0;12.09;1;42.19;2;3.82	EGT:372	EVT:1#				
*TS196	866758049135151	1616890230127	GPS:3;N36.404567;E10.146321;0;0;0.93	STT:0;0	MGR:9	ADC:0;12.09;1;42.19;2;3.82	EGT:372	EVT:1#				
*TS197	866758049135151	1616891231128	GPS:3;N36.404567;E10.146321;0;0;0.93	STT:0;0	MGR:9	ADC:0;12.09;1;42.37;2;3.82	EGT:372	EVT:1#				
*TS198	866758049135151	1616892232129	GPS:3;N36.404567;E10.146321;0;0;0.95	STT:0;0	MGR:9	ADC:0;12.10;1;42.37;2;3.82	EGT:372	EVT:1#				
*TS199	866758049135151	1616893233130	GPS:3;N36.404567;E10.146321;0;0;0.95	STT:0;0	MGR:9	ADC:0;12.10;1;42.37;2;3.82	EGT:372	EVT:1#				
*TS200	866758049135151	1616894234131	GPS:3;N36.404567;E10.146321;0;0;0.79	STT:0;0	MGR:9	ADC:0;12.12;1;42.58;2;3.82	EGT:372	EVT:1#				
*TS201	866758049135151	1616895235132	GPS:3;N36.404567;E10.146321;0;0;0.95	STT:0;0	MGR:9	ADC:0;12.12;1;42.56;2;3.82	EGT:372	EVT:1#				
*TS202	866758049135151	1616896236133	GPS:3;N36.404567;E10.146321;0;0;0.95	STT:0;0	MGR:9	ADC:0;12.13;1;42.56;2;3.82	EGT:372	EVT:1#				
*TS203	866758049135151	1616897237134	GPS:3;N36.404567;E10.146321;0;0;0.95	STT:0;0	MGR:9	ADC:0;12.12;1;42.56;2;3.82	EGT:372	EVT:1#				
*TS204	866758049135151	1616898238135	GPS:3;N36.404567;E10.146321;0;0;0.93	STT:0;0	MGR:9	ADC:0;12.09;1;42.75;2;3.82	EGT:372	EVT:1#				
*TS205	866758049135151	1616899239136	GPS:3;N36.404567;E10.146321;0;0;0.79	STT:0;0	MGR:9	ADC:0;12.06;1;42.56;2;3.82	EGT:372	EVT:1#				
*TS206	866758049135151	1616900240137	GPS:3;N36.404567;E10.146321;0;0;0.88	STT:0;0	MGR:9	ADC:0;12.15;1;42.93;2;3.82	EGT:372	EVT:1#				
*TS207	866758049135151	1616901241138	GPS:3;N36.404567;E10.146321;0;0;0.88	STT:0;0	MGR:9	ADC:0;11.99;1;42.93;2;3.82	EGT:372	EVT:1#				
*TS208	866758049135151	1616902242139	GPS:3;N36.404567;E10.146321;0;0;0.95	STT:0;0	MGR:9	ADC:0;12.06;1;43.12;2;3.82	EGT:372	EVT:1#				
*TS209	866758049135151	1616903243140	GPS:3;N36.404567;E10.146321;0;0;0.95	STT:0;0	MGR:9	ADC:0;12.10;1;43.31;2;3.82	EGT:372	EVT:1#				
*TS210	866758049135151	1616904244141	GPS:3;N36.404567;E10.146321;0;0;0.88	STT:0;0	MGR:9	ADC:0;12.14;1;43.51;2;3.82	EGT:372	EVT:1#				
*TS211	866758049135151	1616905245142	GPS:3;N36.404567;E10.146321;0;0;1.02	STT:0;0	MGR:9	ADC:0;12.16;1;43.31;2;3.82	EGT:372	EVT:1#				
*TS212	866758049135151	1616906246143	GPS:3;N36.404567;E10.146321;0;0;0.97	STT:0;0	MGR:9	ADC:0;12.17;1;43.51;2;3.82	EGT:372	EVT:1#				
*TS213	866758049135151	1616907247144	GPS:3;N36.404567;E10.146321;0;0;0.97	STT:0;0	MGR:9	ADC:0;12.19;1;43.51;2;3.82	EGT:372	EVT:1#				
*TS214	866758049135151	1616908248145	GPS:3;N36.404567;E10.146321;0;0;0.93	STT:0;0	MGR:9	ADC:0;12.29;1;43.31;2;3.82	EGT:372	EVT:1#				
*TS215	866758049135151	1616909249146	GPS:3;N36.404567;E10.146321;0;0;0.97	STT:0;0	MGR:9	ADC:0;12.23;1;43.31;2;3.82	EGT:372	EVT:1#				
*TS216	866758049135151	1616910250147	GPS:3;N36.404567;E10.146321;0;0;0.97	STT:0;0	MGR:9	ADC:0;12.22;1;43.31;2;3.82	EGT:372	EVT:1#				
*TS217	866758049135151	1616911251148	GPS:3;N36.404567;E10.146321;0;0;0.98	STT:0;0	MGR:9	ADC:0;12.11;1;43.51;2;3.82	EGT:372	EVT:1#				
*TS218	866758049135151	1616912252149	GPS:3;N36.404567;E10.146321;0;0;0.95	STT:0;0	MGR:9	ADC:0;12.06;1;43.51;2;3.82	EGT:372	EVT:1#				
*TS219	866758049135151	1616913253150	GPS:3;N36.404567;E10.146321;0;0;0.93	STT:0;0	MGR:9	ADC:0;12.12;1;43.51;2;3.82	EGT:372	EVT:1#				
